sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
trader_no_reputation_fox_transition0_1,OK,OK
trader_no_reputation_daemon_node0,"У тебя недостаточно репутации, чтобы торговаться с демонами!",Your reputation is not high enough to trade with the Forgers!
trader_no_reputation_daemon_transition0_1,OK,OK
trader_no_reputation_robot_node0,"У тебя недостаточно репутации, чтобы торговаться с роботами!",Your reputation is not high enough to trade with the Created!
trader_no_reputation_robot_transition0_1,OK,OK
089_start_node0,"[You enter the room but before you announce yourself, you overhear a conversation between the Forger Leader and a robot underling] Lucifred: ...and that's the best advice you can give? You tin-plated moron! You think I should just find out what they want and give it to them? Robot-Negotiator: It is the wisest move, sir -- they are too valuable to lose. Lucifred: Get out.","[You enter the room but before you announce yourself, you overhear a conversation between the Forger Leader and a robot underling] Lucifred: ...and that's the best advice you can give? You tin-plated moron! You think I should just find out what they want and give it to them? Robot-Negotiator: It is the wisest move, sir -- they are too valuable to lose. Lucifred: Get out."
089_start_node1,"Lucifred: Who is-- ohh, yes, the young human I have heard so much about. Welcome, friend, to the headquarters of the Forgers. Please don't mind the extremely unhelpful bucket of bolts who is leaving right now. He is beneath the notice of important beings such as we two.","Lucifred: Who is-- ohh, yes, the young human I have heard so much about. Welcome, friend, to the headquarters of the Forgers. Please don't mind the extremely unhelpful bucket of bolts who is leaving right now. He is beneath the notice of important beings such as we two."
089_start_node2,"Word has traveled quickly about your deeds. It seems you are an expert in getting things done in this land, and that you greatly desire something that we can give. Is that right?","Word has traveled quickly about your deeds. It seems you are an expert in getting things done in this land, and that you greatly desire something that we can give. Is that right?"
089_start_node3,"Hmm. Unlike some, I always pay my debts, so if you do something for me, I will certainly deliver you to the proper place. Now, at the moment, I have a problem with a certain supplier of valuable ores for our industrial endeavors. You seem to have a knack for dealing with tough customers, and you have your own transportation. Are you interested?","Hmm. Unlike some, I always pay my debts, so if you do something for me, I will certainly deliver you to the proper place. Now, at the moment, I have a problem with a certain supplier of valuable ores for our industrial endeavors. You seem to have a knack for dealing with tough customers, and you have your own transportation. Are you interested?"
089_start_node4,"Fair enough. I understand that. And I understand that you are from another place, so you are unaware of how far my reputation reaches. Even the lowliest of the beings in our domain knows what I can accomplish when I am properly compensated. In fact, go find that fool robot who just left here. Even he will say that I always do what I promise, as long as I get what I want. And then get going to the supplier. I don't have all day.","Fair enough. I understand that. And I understand that you are from another place, so you are unaware of how far my reputation reaches. Even the lowliest of the beings in our domain knows what I can accomplish when I am properly compensated. In fact, go find that fool robot who just left here. Even he will say that I always do what I promise, as long as I get what I want. And then get going to the supplier. I don't have all day."
089_start_node5,"В мире творится что-то странное. Влияние центра усиливается,  путешествовать все сложнее. Многие пути стерлись, а координаты устарели. Это осложняет торговлю, да еще эти роботы некстати.","Strange things happen in the world. Power of the Center is growing and spreading, traveling becomes more and more difficult. Many paths were erased, and the coordinates became out of date. This complicates the trade, and these robots here are really amiss!"
089_start_node6,"Ключ ко всему - центр мира. По легенде там есть цитадель, где исполняются все желания, но как туда добраться - никто не знает. Я мог бы поспрашивать своих подручных, но взамен нужна услуга","The Center of the world - is the key to everything. According to the legend, there is a Citadel, where all desires are fulfilled, but how can anybody  there - that's what no one knows. I could ask around, but I need a service in return."
089_start_node7,"На соседнем осколке есть шахтерский городок, он снабжает нас рудой. Руда перестала поступать. Нужно разобраться в чем дело. Если что - можно применять самые жесткие меры.","On a nearby shard there is a mining town, it provides us with the ore. Ore stopped coming. We need to figure out what's wrong. In any case - you can apply the harshest measures."
089_start_transition0_1,Uh... >ahem<,Uh... >ahem<
089_start_transition1_1,"Uh, all right.","Uh, all right."
089_start_transition2_1,"I would like to make my way back to my homeworld. No one has been terribly helpful for that, but they have sent me here.","I would like to make my way back to my homeworld. No one has been terribly helpful for that, but they have sent me here."
089_start_transition3_1,"I'm always interested, but this time I want to know that you have the goods before I go charging off all over the place.","I'm always interested, but this time I want to know that you have the goods before I go charging off all over the place."
089_start_transition4_1,All right then.,All right then.
089_start_transition5_1,Как выбраться отсюда?,How to get out of here?
089_start_transition6_1,Какая услуга?,What service?
089_start_transition7_1,Я сделаю это,I will do it.
089_finish_node0,Ты смог восстановить поставки руды. Молодец.,Ты смог восстановить поставки руды. Молодец.
089_finish_node1,Получай награду и пока,Получай награду и пока
089_finish_transition0_1,Я старался,Я старался
089_finish_transition1_1,"Спасибо, пока","Спасибо, пока"
089_gnarks_leader_node0,Я гнарк-лидер. Мы захватили этот город,Я гнарк-лидер. Мы захватили этот город
089_gnarks_leader_node1,Да,Да
089_gnarks_leader_node2,"Здесь могилы наших предков. Пусть перестанут копать, иначе не уйдем, так и передай","Здесь могилы наших предков. Пусть перестанут копать, иначе не уйдем, так и передай"
089_gnarks_leader_transition0_1,Поэтому возникли перебои с рудой?,Поэтому возникли перебои с рудой?
089_gnarks_leader_transition1_1,Прекращайте это. Кузнецы меня послали сюда разобраться с этим по-хорошему или по-плохому. Давайте по-хорошему?,Прекращайте это. Кузнецы меня послали сюда разобраться с этим по-хорошему или по-плохому. Давайте по-хорошему?
089_gnarks_leader_transition2_1,"Ок, я иду","Ок, я иду"
089_gnarks_leader_final_node0,Это снова ты! Что сказали кузнецы?,Это снова ты! Что сказали кузнецы?
089_gnarks_leader_final_node1,Мы согласны на эту компенсацию. Но у демонов нет чести и тебе стоит выбирать союзников тщательнее,Мы согласны на эту компенсацию. Но у демонов нет чести и тебе стоит выбирать союзников тщательнее
089_gnarks_leader_final_transition0_1,"Кузнецы передают, что либо вы берете 25% от прибыли, либо вас всех вырежут","Кузнецы передают, что либо вы берете 25% от прибыли, либо вас всех вырежут"
089_gnarks_leader_final_transition1_1,"Рад, что вы смогли договориться","Рад, что вы смогли договориться"
089_dont_understand_gnarks_node0,Бла-бла-бла,Бла-бла-бла
089_dont_understand_gnarks_node1,БЛА-БЛА-БЛА!!!!!!!,БЛА-БЛА-БЛА!!!!!!!
089_dont_understand_gnarks_transition0_1,Не знаю их язык,Не знаю их язык
089_dont_understand_gnarks_transition1_1,По-моему они недовольны...,По-моему они недовольны...
