sep=,,
; Общее,,
;Random quests and dialogues,,
_DIALOGUE_START_PHRASE_0,Привет.,Hello.
_DIALOGUE_START_PHRASE_1,"Хорошо, что ты пришел.",Glad you came.
_DIALOGUE_START_PHRASE_2,Что ты хочешь от меня?,What do you want from me?
_DIALOGUE_START_PHRASE_3,"Это классно, что ты снова тут.",It's nice to see you again.
_DIALOGUE_START_PHRASE_4,"Ну, говори?",Say it.
_DIALOGUE_START_PHRASE_5,О чем ты хочешь поговорить?,What do you want to talk about?
_DIALOGUE_START_PHRASE_6,"Давай, говори быстрее, я кое-кого жду.","Spit it out already, I'm waiting for someone."
_DIALOGUE_START_PHRASE_7,Ты по делу?,Do you have any business to me?
_DIALOGUE_START_PHRASE_8,Выкладывай.,Spell it out.
_DIALOGUE_START_PHRASE_9,Ну?,Well?
_DIALOGUE_GOAWAY_PHRASE_0,"Я занят, уходи.","I'm busy, please leave."
_DIALOGUE_GOAWAY_PHRASE_1,Мне нечего тебе сказать. Возможно позже.,I have nothing to tell you. Maybe later.
_DIALOGUE_GOAWAY_PHRASE_2,Что ты хочешь от меня?,What do you want from me?
_DIALOGUE_GOAWAY_PHRASE_3,Лучше тебе уйти.,It's better for you to leave.
_DIALOGUE_GOAWAY_PHRASE_4,Попробуй придти позднее.,Come back later.
_DIALOGUE_GOAWAY_PHRASE_5,Я сейчас не в настроении разговаривать.,I'm not into conversation.
_DIALOGUE_GOAWAY_PHRASE_6,У меня нет ничего для тебя сейчас.,I'm not in the talking mood right now.
_DIALOGUE_GOAWAY_PHRASE_7,А теперь уходи.,And now leave.
_DIALOGUE_GOAWAY_PHRASE_8,"Отойди, я жду кое-чего.","Move away, I'm waiting for someone."
_DIALOGUE_GOAWAY_PHRASE_9,Не стоит тебе сейчас со мной разговаривать.,It's better not to talk to me right now.
_DIALOGUE_GOAWAY_ANSWER_0,"Все, ушел.","Well, I'm out."
_DIALOGUE_GOAWAY_ANSWER_1,...,
_DIALOGUE_GOAWAY_ANSWER_2,Просто мимо проходил..,Just passing by…
_DIALOGUE_GOAWAY_ANSWER_3,"Хорошо, оставлю тебя в покое.","Ok, I'll leave you alone."
_DIALOGUE_GOAWAY_ANSWER_4,"Ладно, до встречи.","Well, see you."
_DIALOGUE_GOAWAY_ANSWER_5,Окей.,Ok
_DIALOGUE_GOAWAY_ANSWER_6,"Ну давай, пока.","Ok, bye."
_DIALOGUE_GOAWAY_ANSWER_7,Все понятно.,Got it.
_DIALOGUE_GOAWAY_ANSWER_8,Пока.,Bye.
_DIALOGUE_GOAWAY_ANSWER_9,У меня есть свои дела.,I have my own business.
; убийство,,
_DIALOGUE_RANDOMKILL_ANSWER_0,"Я могу решить любые проблемы, или устроить их.",I can solve any problems or neutralize them.
