sep=,,,
_ITEM_MINE128_NAME,Мина версии 128,Mine v. 128,
_ITEM_MINE128_DESCRIPTION,Экспериментальная мина модель 128,Mine. Experimental model 128,
_ITEM_MINE300_NAME,Мина версии 300,Mine v. 300,
_ITEM_MINE300_DESCRIPTION,Экспериментальная мина модель 300,Mine. Experimental model 300,
_ITEM_MINE1000_NAME,Мина версии 1000,Mine v. 1000,
_ITEM_MINE1000_DESCRIPTION,Экспериментальная мина модель 1000,Mine. Experimental model 1000,
_ITEM_SALTPETEREX_NAME,Селитра модифицированная,Modified Nitrate,
_ITEM_SALTPETEREX_DESCRIPTION,"Селитра модифицированная, что в ней модифицировано - неизвестно.",Modified nitrate. Modified components unknown.,
_ITEM_Q006_STORY_1_NAME,Запись от демона,Master's note,
_ITEM_Q006_STORY_1_DESCRIPTION,Тут написано,"It says: ""Heroes on Demand!""",
_ITEM_Q006_STORY_2_NAME,Запись от лисы,Alchemist's note,
_ITEM_Q006_STORY_2_DESCRIPTION,Тут написано,"It says: ""Rescue Gang""",
_ITEM_Q006_STORY_3_NAME,Запись от робота,Blacksmith's note,
_ITEM_Q006_STORY_3_DESCRIPTION,Тут написано,There is... numbers?,
_ITEM_Q007_ELIXIR_NAME,Эликсир от лисы,Fox's potion,
_ITEM_Q007_ELIXIR_DESCRIPTION,Я бы такое не стал пить.,I'd better not drink it.,
_ITEM_Q008_ELIXIR_NAME,Эликсир от лисы,Secret potion,
_ITEM_Q008_ELIXIR_DESCRIPTION,Я бы такое не стал пить.,I'd better not drink it.,
_ITEM_Q015SILVERLEAF_NAME,Серебряный листик,Silver leaf,
_ITEM_Q015SILVERLEAF_DESCRIPTION,Блестит на солнце,It glints in sunlight.,
_ITEM_Q016_TRADE_CERTIFICATE_NAME,Сертификат торговца,Merchant's certificate,
_ITEM_Q016_TRADE_CERTIFICATE_DESCRIPTION,Выглядит несолидно.,Looks nerdy.,
_ITEM_Q018_ALCOHOL_NAME,Бухло для гнарков,Beverage for gnarks,
_ITEM_Q018_ALCOHOL_DESCRIPTION,Сладкое на вкус,It's sweet!,
_ITEM_Q020_SEEDS_NAME,Семена,Seeds,
_ITEM_Q020_SEEDS_DESCRIPTION,Можно посадить на марсе,Plant them on Mars.,
_ITEM_Q023_KEY_NAME,Ключ от клетки шерифа,Sheriff's cage key,
