sep=,,
;001_QUEST_STONES_AND_WOODS/quest,,
_001_QUEST_STONES_AND_WOODS_OBJECTIVE_QUEST_2,Вернуть камни {{owner}},Return stones {{owner}}
_001_QUEST_STONES_AND_WOODS_DESCRIPTION_QUEST_1,Дескрипшен,Description
_001_QUEST_STONES_AND_WOODS_HEADER_QUEST_1,Заголовок квеста,Quest title
_001_QUEST_STONES_AND_WOODS_OBJECTIVE_QUEST_1,Цель квеста,Quest goal
;002_QUEST_GIVE_ITEM_TO_ANOTHER_NPC/quest,,
_002_QUEST_GIVE_ITEM_TO_ANOTHER_NPC_DESCRIPTION_QUEST_1,Дескрипшен,Description
_002_QUEST_GIVE_ITEM_TO_ANOTHER_NPC_HEADER_QUEST_1,Заголовок квеста,Quest title
_002_QUEST_GIVE_ITEM_TO_ANOTHER_NPC_OBJECTIVE_QUEST_1,Цель квеста,Quest goal
;003_MOVE_ME_TO_POINT/quest,,
_003_MOVE_ME_TO_POINT_DESCRIPTION_QUEST_1,Дескрипшен,Description
_003_MOVE_ME_TO_POINT_HEADER_QUEST_1,Сопроводить к месту,Accompany to a place
_003_MOVE_ME_TO_POINT_OBJECTIVE_QUEST_1,Цель квеста,Quest goal
;004_PAGES_ON_CEMETRY/quest,,
_004_PAGES_ON_CEMETRY_OBJECTIVE_QUEST_5,Вернуться и отчитать {{owner}},Come back and report {{owner}}
_004_PAGES_ON_CEMETRY_OBJECTIVE_QUEST_1,"Выяснить, что происходит",Find out what's going on
_004_PAGES_ON_CEMETRY_HEADER_QUEST_1,Демон-писатель и записки,The demon writer and his notes
_004_PAGES_ON_CEMETRY_OBJECTIVE_QUEST_4,Идти в церковь,Go to the church
_004_PAGES_ON_CEMETRY_OBJECTIVE_QUEST_2,Найти остальные записки,Find the rest of the notes
_004_PAGES_ON_CEMETRY_DESCRIPTION_QUEST_1,Описание квеста,Quest description
;005_GNARK_MINE/quest,,
_005_GNARK_MINE_OBJECTIVE_QUEST_6,Вернуться и отчитать {{owner}},Come back and report {{owner}}
_005_GNARK_MINE_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_005_GNARK_MINE_OBJECTIVE_QUEST_5,Опробовать мину на граббере,Try the mine on a grabber
_005_GNARK_MINE_OBJECTIVE_QUEST_3,Опробовать мину на пауке,Try the mine on a spider
_005_GNARK_MINE_OBJECTIVE_QUEST_1,Опробовать мину на птице,Try the mine on a bird
_005_GNARK_MINE_OBJECTIVE_QUEST_4,Отчитаться по работе второй мины,Report on the second mine
_005_GNARK_MINE_OBJECTIVE_QUEST_2,Отчитаться по работе мины,Report on the mine
_005_GNARK_MINE_HEADER_QUEST_1,Эксперименты с минами,Experiments with mines
;006_FRACTION_NAME/quest,,
_006_FRACTION_NAME_OBJECTIVE_QUEST_2,Взять записку у лисы,Take a note from the Fox
_006_FRACTION_NAME_OBJECTIVE_QUEST_4,Взять записку у робота,Take a note from the Robot
_006_FRACTION_NAME_DESCRIPTION_QUEST_1,Глава ордена попросил меня собрать три листка вариантами названий ордена.,The Head of the Order wants you to bring him three notes containing the name of the order.
_006_FRACTION_NAME_HEADER_QUEST_1,Имя для ордена,Order name
_006_FRACTION_NAME_OBJECTIVE_QUEST_3,Найти записку лисы,Find the Fox's note
_006_FRACTION_NAME_OBJECTIVE_QUEST_1,Найти запись демона в пауке,Find the Forger's note inside the spider
_006_FRACTION_NAME_OBJECTIVE_QUEST_5,Отдать записки {{owner}},Take the notes to {{owner}}
;007_FOX_ELIXIR_1/quest,,
_007_FOX_ELIXIR_1_OBJECTIVE_QUEST_2,Выпить эликсир,Drink the potion
_007_FOX_ELIXIR_1_OBJECTIVE_QUEST_1,Идти к месту испытания,Go to the testing area
_007_FOX_ELIXIR_1_HEADER_QUEST_1,Испытание зелья,Potion test
_007_FOX_ELIXIR_1_DESCRIPTION_QUEST_1,"Мне надо отправиться в указанное место, выпить зелье и сразится с монстром.","I need to go to the specified place, drink the potion, and fight the monsters. Sounds safe."
_007_FOX_ELIXIR_1_OBJECTIVE_QUEST_5,Рассказать о эффекте {{owner}},Report on the effect {{owner}}
_007_FOX_ELIXIR_1_OBJECTIVE_QUEST_3,Убить монстра,Kill a monster
_007_FOX_ELIXIR_1_OBJECTIVE_QUEST_4,Убить рогача,Kill a stag
;008_FOX_ELIXIR_2/quest,,
_008_FOX_ELIXIR_2_OBJECTIVE_QUEST_2,Выпить эликсир,Drink the potion
_008_FOX_ELIXIR_2_OBJECTIVE_QUEST_1,Идти к месту испытания,Go to the testing area
_008_FOX_ELIXIR_2_HEADER_QUEST_1,Испытание зелья 2,Potion test 2
_008_FOX_ELIXIR_2_DESCRIPTION_QUEST_1,Лиса обещала что это зелье сделает меня невидимым. Надо отправиться на паучий остров и выпить его там.,The fox said the elixir would make me invisible. I need to go to Spider Island and drink it there. Sounds like a lovely place.
_008_FOX_ELIXIR_2_OBJECTIVE_QUEST_3,Рассказать об эффекте {{owner}},Report on the effect {{owner}}
;009_KNOWN_VILLY/quest,,
_009_KNOWN_VILLY_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_009_KNOWN_VILLY_HEADER_QUEST_1,Разузнать про старину Вилли,Find info about Willy
_009_KNOWN_VILLY_OBJECTIVE_QUEST_3,Расспросить героя,Ask the hero
_009_KNOWN_VILLY_OBJECTIVE_QUEST_1,Расспросить демона-торговца,Ask the merchant demon
_009_KNOWN_VILLY_OBJECTIVE_QUEST_2,Расспросить старика у шахты,Ask the old man near the mine
;010_SAVE_MOPS/quest,,
_010_SAVE_MOPS_OBJECTIVE_QUEST_2,Вернуться к кусту {{owner}},Go back to the bush {{owner}}
_010_SAVE_MOPS_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_010_SAVE_MOPS_OBJECTIVE_QUEST_1,Разобраться с гнарками,Deal with gnarks
_010_SAVE_MOPS_HEADER_QUEST_1,Разобраться с обидчиками,Deal with offenders
;011_ORDER_GREAT_REWARD/quest,,
_011_ORDER_GREAT_REWARD_HEADER_QUEST_1,Великая награда ордена,Great reward from the Order
_011_ORDER_GREAT_REWARD_OBJECTIVE_QUEST_2,Вернуться к демону {{owner}},Head back to the Forger {{owner}}
_011_ORDER_GREAT_REWARD_DESCRIPTION_QUEST_1,Выполнить все задания с доски,Complete every task written on the board.
_011_ORDER_GREAT_REWARD_OBJECTIVE_QUEST_1,Выполнить задания с доски,Complete the tasks written on the board
;012_HELP_FOX/quest,,
_012_HELP_FOX_HEADER_QUEST_1,Доска: Помочь лисе,Plank: Help Fox
_012_HELP_FOX_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_012_HELP_FOX_OBJECTIVE_QUEST_1,Помочь лисе,Help Fox
;013_HELP_ROBOT/quest,,
_013_HELP_ROBOT_HEADER_QUEST_1,Доска: Помочь роботу,Plank: Help the Robot
_013_HELP_ROBOT_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_013_HELP_ROBOT_OBJECTIVE_QUEST_1,Помочь роботу,Help the Robot
;014_ORDER_FOX_DOOR/quest,,
_014_ORDER_FOX_DOOR_DESCRIPTION_QUEST_1,Описание квеста,Quest description
_014_ORDER_FOX_DOOR_HEADER_QUEST_1,Открыть дверь изнутри,Open the door from the inside.
;015_ROBOT_GET_SILVER/quest,,
_015_ROBOT_GET_SILVER_DESCRIPTION_QUEST_1,Мечи ордена сами собой серебрянными не станут. Нужно принести листья серебрянки для краски.,The swords won't turn into silver on their own. I need to collect silverfish leaves and make a paint out of them.
_015_ROBOT_GET_SILVER_HEADER_QUEST_1,Найти серебрянку,Find silverfish leaves
_015_ROBOT_GET_SILVER_OBJECTIVE_QUEST_1,Найти серебрянку {{complete_count}}/{{target_count}},Find silverfish leaves {{complete_count}}/{{target_count}}
_015_ROBOT_GET_SILVER_OBJECTIVE_QUEST_2,Отдать серебрянку роботу {{owner}},Give the robot silverfish leaves {{owner}}
;016_TRADE_CERTIFICATE/quest,,
_016_TRADE_CERTIFICATE_DESCRIPTION_QUEST_1,Описание квеста,Quest description
