sep=,,
WOODMECH_1_SWORD_NAME,Деревянный меч,Wooden Sword [WOOD]
WOODMECH_1_SWORD_DESCRIPTION,Оставляет убийственные занозы в врагах. /n{{damage}} урона/nШанс крита {{critical_chance}}%,This sword can leave deadly splinters in your enemies. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_SWORD_UNCOMMON_NAME,Улучшенный деревянный меч,Mighty Wooden Sword [WOOD]
WOODMECH_1_SWORD_UNCOMMON_DESCRIPTION,Оставляет убийственные занозы в врагах. /n{{damage}} урона/nШанс крита {{critical_chance}}%,This sword can leave deadly splinters in your enemies. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_SWORD_EXCELLENT_NAME,Превосходный деревянный меч,Amazing Wooden Sword [WOOD]
WOODMECH_1_SWORD_EXCELLENT_DESCRIPTION,Оставляет убийственные занозы в врагах. /n{{damage}} урона/nШанс крита {{critical_chance}}%,This sword can leave deadly splinters in your enemies. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_SWORD_MYTHICAL_NAME,Мифический деревянный меч,Mythical Wooden Sword [WOOD]
WOODMECH_1_SWORD_MYTHICAL_DESCRIPTION,Оставляет убийственные занозы в врагах. /n{{damage}} урона/nШанс крита {{critical_chance}}%,This sword can leave deadly splinters in your enemies. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_1_SWORD_MAGNIFICENT_NAME,Великолепный деревянный меч,Fabulous Wooden Sword [WOOD]
WOODMECH_1_SWORD_MAGNIFICENT_DESCRIPTION,Оставляет убийственные занозы в врагах. /n{{damage}} урона/nШанс крита {{critical_chance}}%,This sword can leave deadly splinters in your enemies. /n{{damage}} DMG/nCrit {{critical_chance}}%
WOODMECH_2_SWORD_FIRE_NAME,Огненный... деревянный меч,Flaming Wooden Sword [WOOD]
WOODMECH_2_SWORD_FIRE_DESCRIPTION,"В огненном деревянном мече нет ничего удивительного. Можно не боятся, сам он не сгорит. /nЕсть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона./nШанс крита {{critical_chance}}%",Surprisingly durable flaming sword made of wood. Keep away from children. /n {{burning_chance}}% Chance to ignite enemy. /n{{damage}} fire DMG./nCrit {{critical_chance}}%
WOODMECH_2_SWORD_FIRE_UNCOMMON_NAME,Улучшенный огненный... деревянный меч,Mighty Flaming Wooden Sword [WOOD]
WOODMECH_2_SWORD_FIRE_UNCOMMON_DESCRIPTION,"В огненном деревянном мече нет ничего удивительного. Можно не боятся, сам он не сгорит. /nЕсть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона./nШанс крита {{critical_chance}}%",Surprisingly durable flaming sword made of wood. Keep away from children. /n {{burning_chance}}% Chance to ignite enemy. /n{{damage}} fire DMG./nCrit {{critical_chance}}%
WOODMECH_2_SWORD_FIRE_EXCELLENT_NAME,Превосходный огненный... деревянный меч,Amazing Flaming Wooden Sword [WOOD]
WOODMECH_2_SWORD_FIRE_EXCELLENT_DESCRIPTION,"В огненном деревянном мече нет ничего удивительного. Можно не боятся, сам он не сгорит. /nЕсть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона./nШанс крита {{critical_chance}}%",Surprisingly durable flaming sword made of wood. Keep away from children. /n {{burning_chance}}% Chance to ignite enemy. /n{{damage}} fire DMG./nCrit {{critical_chance}}%
WOODMECH_2_SWORD_FIRE_MYTHICAL_NAME,Мифический огненный... деревянный меч,Mythical Flaming Wooden Sword [WOOD]
WOODMECH_2_SWORD_FIRE_MYTHICAL_DESCRIPTION,"В огненном деревянном мече нет ничего удивительного. Можно не боятся, сам он не сгорит. /nЕсть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона./nШанс крита {{critical_chance}}%",Surprisingly durable flaming sword made of wood. Keep away from children. /n {{burning_chance}}% Chance to ignite enemy. /n{{damage}} fire DMG./nCrit {{critical_chance}}%
WOODMECH_2_SWORD_FIRE_MAGNIFICENT_NAME,Великолепный огненный... деревянный меч,Fabulous Flaming Wooden Sword [WOOD]
WOODMECH_2_SWORD_FIRE_MAGNIFICENT_DESCRIPTION,"В огненном деревянном мече нет ничего удивительного. Можно не боятся, сам он не сгорит. /nЕсть {{burning_chance}}% шанс поджечь противника. /n{{damage}} огненного урона./nШанс крита {{critical_chance}}%",Surprisingly durable flaming sword made of wood. Keep away from children. /n {{burning_chance}}% Chance to ignite enemy. /n{{damage}} fire DMG./nCrit {{critical_chance}}%
WOODMECH_3_SWORD_COLD_NAME,Деревянный меч мороза,Frosty Wooden Sword [WOOD]
WOODMECH_3_SWORD_COLD_DESCRIPTION,"Бей быстро, замедляй врагов… просто потому, что ты это можешь. /nМорозит и замедляет врага с шансом {{frost_effect_chance}}%./n{{damage}} урона холодом/nШанс крита {{critical_chance}}%",Use woolen mittens for best results! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG/nCrit {{critical_chance}}%
WOODMECH_3_SWORD_COLD_UNCOMMON_NAME,Улучшенный деревянный меч мороза,Mighty Frosty Wooden Sword [WOOD]
WOODMECH_3_SWORD_COLD_UNCOMMON_DESCRIPTION,"Бей быстро, замедляй врагов… просто потому, что ты это можешь. /nМорозит и замедляет врага с шансом {{frost_effect_chance}}%./n{{damage}} урона холодом/nШанс крита {{critical_chance}}%",Use woolen mittens for best results! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG/nCrit {{critical_chance}}%
WOODMECH_3_SWORD_COLD_EXCELLENT_NAME,Превосходный деревянный меч мороза,Amazing Frosty Wooden Sword [WOOD]
WOODMECH_3_SWORD_COLD_EXCELLENT_DESCRIPTION,"Бей быстро, замедляй врагов… просто потому, что ты это можешь. /nМорозит и замедляет врага с шансом {{frost_effect_chance}}%./n{{damage}} урона холодом/nШанс крита {{critical_chance}}%",Use woolen mittens for best results! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG/nCrit {{critical_chance}}%
WOODMECH_3_SWORD_COLD_MYTHICAL_NAME,Мифический деревянный меч мороза,Mythical Frosty Wooden Sword [WOOD]
WOODMECH_3_SWORD_COLD_MYTHICAL_DESCRIPTION,"Бей быстро, замедляй врагов… просто потому, что ты это можешь. /nМорозит и замедляет врага с шансом {{frost_effect_chance}}%./n{{damage}} урона холодом/nШанс крита {{critical_chance}}%",Use woolen mittens for best results! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG/nCrit {{critical_chance}}%
WOODMECH_3_SWORD_COLD_MAGNIFICENT_NAME,Великолепный деревянный меч мороза,Fabulous Frosty Wooden Sword [WOOD]
WOODMECH_3_SWORD_COLD_MAGNIFICENT_DESCRIPTION,"Бей быстро, замедляй врагов… просто потому, что ты это можешь. /nМорозит и замедляет врага с шансом {{frost_effect_chance}}%./n{{damage}} урона холодом/nШанс крита {{critical_chance}}%",Use woolen mittens for best results! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG/nCrit {{critical_chance}}%
WOODMECH_1_CLUB_NAME,Дубина,Wooden Club [WOOD]
WOODMECH_1_CLUB_DESCRIPTION,"Классика жанра, кто с такой не бегал? /n{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%",Simple and beautiful. How to fight: put on the enemy's head. Repeat. /n{{damage}} DMG.  {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
WOODMECH_1_CLUB_UNCOMMON_NAME,Улучшенная дубина,Mighty Wooden Club [WOOD]
WOODMECH_1_CLUB_UNCOMMON_DESCRIPTION,"Классика жанра, кто с такой не бегал? /n{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%",Simple and beautiful. How to fight: put on the enemy's head. Repeat. /n{{damage}} DMG.  {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
WOODMECH_1_CLUB_EXCELLENT_NAME,Превосходная дубина,Amazing Wooden Club [WOOD]
WOODMECH_1_CLUB_EXCELLENT_DESCRIPTION,"Классика жанра, кто с такой не бегал? /n{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%",Simple and beautiful. How to fight: put on the enemy's head. Repeat. /n{{damage}} DMG.  {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
WOODMECH_1_CLUB_MYTHICAL_NAME,Мифическая дубина,Mythical Wooden Club [WOOD]
WOODMECH_1_CLUB_MYTHICAL_DESCRIPTION,"Классика жанра, кто с такой не бегал? /n{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%",Simple and beautiful. How to fight: put on the enemy's head. Repeat. /n{{damage}} DMG.  {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
WOODMECH_1_CLUB_MAGNIFICENT_NAME,Великолепная дубина,Fabulous Wooden Club [WOOD]
WOODMECH_1_CLUB_MAGNIFICENT_DESCRIPTION,"Классика жанра, кто с такой не бегал? /n{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%",Simple and beautiful. How to fight: put on the enemy's head. Repeat. /n{{damage}} DMG.  {{stun_chance}}% stun chance./nCrit {{critical_chance}}%
WOODMECH_2_CLUB_COLD_NAME,Морозная дубина,Club of Coolness [WOOD]
WOODMECH_2_CLUB_COLD_DESCRIPTION,Морозит и замедляет врага с {{frost_effect_chance}}% шансом./n{{damage}} урона холодом. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,Be cool! And freeze your enemies to death! /nFreeze and slow enemies with {{frost_effect_chance}}% chance./n{{damage}} frost DMG. {{stun_chance}}% Stun chance./nCrit {{critical_chance}}%
WOODMECH_2_CLUB_COLD_UNCOMMON_NAME,Улучшенная морозная дубина,Mighty Club of Coolness [WOOD]
